"vremia","191HL","192HL","193BL","194BL","191HR","192HR","193BR","194BR","281NL","282NL","283BL","284BL","281NR","282NR","283BR","284BR","301BL","302BL","303HL","304HL","301BR","302BR","303HR","304HR","321BL","322BL","323HL","324HL","321BR","322BR","323HR","324HR","341BL","342BL","343HL","344HL","341BR","342BR","343HR","344HR","461L","462L","463L","461R","462R","463R","G11L","G12L","G13L","G14L","G15L","G16L","G17L","G11R","G12R","G13R","G14R","G15R","G16R","G17R","G21L","G22L","G23L","G24L","G25L","G26L","G27L","G21R","G22R","G23R","G24R","G25R","G26R","G27R","D12","D13","D14","D15","D16","D17","D18","D19","D20","U64","RasxCD"
"2020-06-30 00:00:15.843","27","28","29","29","28","28","29","30","30","34","32","30","30","32","34","29","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1790"
"2020-06-30 00:00:16.906","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1740"
"2020-06-30 00:00:17.921","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","49","34","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1640"
"2020-06-30 00:00:18.937","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1690"
"2020-06-30 00:00:19.968","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.5","4.2","3.6","2.9","3","2.7","1170","1680"
"2020-06-30 00:00:21.015","27","28","29","29","28","28","29","30","30","34","32","31","30","32","34","29","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.5","4.2","3.6","2.9","3","2.7","1170","1720"
"2020-06-30 00:00:22.031","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1610"
"2020-06-30 00:00:23.046","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","42","36","43","50","35","42","34","42","39","42","43","35","36","37","32","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1680"
"2020-06-30 00:00:24.046","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1770"
"2020-06-30 00:00:25.062","27","28","29","29","28","28","29","30","30","34","32","31","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1720"
"2020-06-30 00:00:26.078","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1800"
"2020-06-30 00:00:27.125","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","29","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1640"
"2020-06-30 00:00:28.140","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1760"
"2020-06-30 00:00:29.156","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1550"
"2020-06-30 00:00:30.171","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","42","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1660"
"2020-06-30 00:00:31.187","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1770"
"2020-06-30 00:00:32.187","27","28","29","29","28","28","29","30","30","34","32","31","30","32","34","29","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","32","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1770"
"2020-06-30 00:00:33.203","27","28","29","29","28","28","29","30","30","34","32","30","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1680"
"2020-06-30 00:00:34.218","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1770"
"2020-06-30 00:00:35.281","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1820"
"2020-06-30 00:00:36.296","27","28","29","29","28","28","29","30","30","34","33","31","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","32","43","49","50","44","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1770"
"2020-06-30 00:00:37.343","27","28","29","29","28","28","29","30","30","34","32","31","30","32","34","29","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","32","43","49","50","44","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1750"
"2020-06-30 00:00:38.359","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1750"
"2020-06-30 00:00:39.375","27","28","29","29","28","28","29","30","30","34","32","31","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1710"
"2020-06-30 00:00:40.406","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","37","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1170","1720"
"2020-06-30 00:00:41.437","27","28","29","29","28","28","29","30","30","34","32","31","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","37","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1640"
"2020-06-30 00:00:42.468","27","28","29","29","28","28","29","30","30","34","33","31","30","32","34","29","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","32","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1750"
"2020-06-30 00:00:43.484","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1640"
"2020-06-30 00:00:44.500","27","28","29","29","28","28","29","30","30","34","32","31","30","32","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1720"
"2020-06-30 00:00:45.515","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1600"
"2020-06-30 00:00:46.531","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.1","5","4.4","4.5","4.2","3.6","2.9","3","2.7","1160","1720"
"2020-06-30 00:00:47.546","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1790"
"2020-06-30 00:00:48.562","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1570"
"2020-06-30 00:00:49.578","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1600"
"2020-06-30 00:00:50.625","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","43","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1750"
"2020-06-30 00:00:51.640","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1700"
"2020-06-30 00:00:52.687","27","28","29","29","28","28","29","30","30","34","32","31","30","32","34","29","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1710"
"2020-06-30 00:00:53.687","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","37","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1820"
"2020-06-30 00:00:54.718","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1680"
"2020-06-30 00:00:55.734","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","32","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.4","4.2","3.6","2.9","3","2.7","1160","1640"
"2020-06-30 00:00:56.812","27","28","29","29","28","28","29","30","30","34","32","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","34","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.2","5","4.4","4.5","4.2","3.6","2.9","3","2.7","1160","1730"
"2020-06-30 00:00:57.843","27","28","29","29","28","28","29","30","30","34","33","31","30","33","34","30","34","32","31","31","27","35","33","32","36","35","34","40","37","39","37","42","36","34","35","32","36","36","38","37","42","40","38","43","38","36","34","41","36","43","50","35","42","34","42","39","42","43","35","36","37","31","43","49","50","44","44","38","37","37","51","44","36","40","5.1","5","4.4","4.4","4.2","3.6","2.9","3","2.8","1160","1660"
